PaperTitle,Year,Journal,FirstAuthorName,FirstAuthorCountry,CountryDataCollected,SamplePrimaryCountryofOrigin,Ethnicity,SampleSize,SampleAgeMean,SampleAgeSD,SampleOtherDescription,SampleMusicianshipDescription,SamplingMethodDescription,FemaleParticipantsNumber,MaleParticipantsNumber,MeanYearsEducation,MusicPrimaryGenre,MusicOriginCountry,MusicSource,Comments,CoderName,Keywords
Melodic Contour Similarity Using Folk Melodies,2010,Music Perception,"Schmuckler, Mark A.",Canada,Canada,NA,NA,25,20.8,2,Students,Musicians,course credit,NA,NA,NA,Folk,Western,precomposed,,Logan Barrett,melodic contour; melodic perception; melodic similarity; Fourier analysis; time series analysis
Musical Enculturation in Preschool Children: Acquisition of Key and Harmonic Knowledge,2010,Music Perception,"Corrigall, Kathleen A.",Canada,Canada,Canada,NA,52,4.5,0.3,Children,non-Musicians,Other,37,15,NA,Lullaby,Western,semi-precomposed,,Logan Barrett,key membership; harmony; tonality; musical enculturation; pitch
Participatory Discrepancies and the Perception of Beats in Jazz,2010,Music Perception,"Butterfield, Matthew",US,US,NA,NA,63,NA,NA,Students,NA,NA,NA,NA,NA,Jazz,Western,experimenter-creater,,Logan Barrett,jazz rhythm; swing; participatory discrepancies; microtiming; metric entrainment
Participatory Discrepancies and the Perception of Beats in Jazz,2010,Music Perception,"Butterfield, Matthew",US,US,NA,NA,22,NA,NA,Students,NA,NA,NA,NA,NA,Jazz,Western,precomposed,,Logan Barrett,jazz rhythm; swing; participatory discrepancies; microtiming; metric entrainment
Musical identities in transition: Solo-piano students' accounts of entering the academy,2010,Psychology of Music,"Juuti, Sini",Finland,Finland,Finland,NA,10,NA,NA,Students,NA,Volunteer ,7,3,NA,NA,NA,NA,,Logan Barrett,identity work; novices; postgraduate-level music students; research interviews; transition
Effects of Structure and serial postion on memory errors in musical performance,2010,Psychology of Music,"Mishra, Jennifer",US,US,NA,Na,20,NA,NA,Students,Musicians,NA,12,8,NA,Classical,Western,precomposed,,Logan Barrett,memorisation; memory errors; musical structure; primacy; recency; serial order
Effects of Structure and serial postion on memory errors in musical performance,2010,Psychology of Music,"Mishra, Jennifer",US,US,NA,NA,23,NA,NA,Students,Musicians,NA,11,12,NA,Classical,Western,precomposed,,Logan Barrett,memorisation; memory errors; musical structure; primacy; recency; serial order
Non-musicians' and musicians' perception of bitonality,2010,Psychology of Music,"Hamamoto, Mayumi",US,US,NA,NA,42,NA,NA,Students,non-Musicians; Musicians,NA,NA,NA,NA,Classical; Pop,Western,precomposed; semi-precomposed,,Logan Barrett,bitonality; musicians; non-musicians; perception; tonality
Interpersonal interaction within the violin studio: The influence of inerpersonal dynamics on outcomes for teachers,2010,Psychology of Music,"Creech, Andrea",UK,UK,NA,NA,263,NA,NA,teachers,Musicians,Volunteer ,220,39,NA,NA,NA,NA,,Logan Barrett,efficacy; instrumental teachers; interpersonal interaction; involvement; professional satisfaction
Perceptual organization can affect peformance on rhyhmic tasks,2010,Psychology of Music,"Mclaughlin, Pat",US,US,NA,NA,27,20.85,NA,Students,Musicians,Volunteer ,3,24,NA,artificial,NA,experimenter-creater,,Logan Barrett,perception; percussion; performance; rhythm
Short- and long-term musical preferences: what makes a favourite piece of music?,2010,Psychology of Music,"Lamont, Alexandra",UK,UK,NA,NA,9,21.58,NA,Students,non-musicians,Volunteer ,6,3,NA,NA,NA,precomposed,,Logan Barrett,everyday life; favourites; lifespan; listening; musical preference
"Music lessons, pitch processing, and g",2010,Psychology of Music,"Schellenberg, E. Glenn",Canada,Canada,NA,NA,40,19.9,1.6,Students,Musicians; non-musicians,course credit; paid,30,10,NA,artificial,NA,experimenter-creater,,Logan Barrett,executive function; intelligence; music lessons; pitch perception; relative pitch
One-to-one tuition in a conservatiore: the perception of instrumental and vocal students,2010,Psychology of Music,"Gaun, Helena",UK,UK,NA,NA,20,NA,NA,Students,Musicians,Volunteer ,8,12,NA,NA,NA,NA,,Logan Barrett,autonomy in learning; instrumental teaching; one-to-one relationship; power relationships
Posh music should equal posh dress': an investigation into the concert dress and physical appearance of female soloists,2010,Psychology of Music,"Griffiths, Noola K.",UK,UK,NA,NA,30,22.43,3.256,Students,Musicians,NA,15,15,NA,Classical; Jazz; Folk,Western,semi-precomposed,,Logan Barrett,appropriate dress; body movement style; performance ratings
A limiting feature of the Mozart effect: listening enhances mental rotation abilities in non-musicians but not musicians,2010,Psychology of Music,"Aheadi, Afshid",UK,UK,NA,NA,100,NA,NA,Students,non-Musicians; Musicians,Volunteer ,NA,NA,NA,Classical,Western,precomposed,,Logan Barrett,cognition; enhancement; Mozart; musical experience; spatial abilities
Music performance teachers' conceptions about learning and instruction: a descriptive study of Spanish piano teachers,2010,Psychology of Music,"Bautista, Alfredo",Spain,Spain,Spain,NA,45,36.71,11.1,teachers,Musicians,Volunteer ,21,24,NA,NA,NA,NA,,Logan Barrett,conceptions about learning and instruction; conceptual change; piano teachers; teaching experience
From Death meal to R&B? Consistency of musical preferences among Dutch adolescents and young adults,2010,Psychology of Music,"Mulder, Juul",Netherlands,Netherlands,Netherlands,NA,236,19.65,3.49,NA,NA,paid,118,118,NA,Pop,Western,precomposed,,Logan Barrett,music taste; popular music; q-correlation; stability; youth
Perception and predictions of expertise in advanced musical learners,2010,Psychology of Music,"Papageorgi, Ioulia",UK,UK,NA,NA,244,NA,NA,NA,Musicians,Volunteer ,134,110,NA,Classical,Western,NA,,Logan Barrett,expertise development; gender; musical genre; musical performance; skill acquisition
Using graphical notations to assess children’s experiencing of simple and complex musical fragments,2010,Psychology of Music,"Verschaffel, Lieven",Belgium,Belgium,NA,NA,116,NA,NA,NA,NA,NA,NA,NA,NA,artificial,NA,experimenter-creater,,Logan Barrett,graphical notations; music education; representation
When program notes don't help: Music descriptions and enjoyment,2010,Psychology of Music,"Margulis, Elizabeth Hellmuth",US,US,NA,NA,16,NA,NA,Students,non-musicians,Volunteer ,NA,NA,NA,Classical,Western,precomposed,,Logan Barrett,musical description; conceptualization; musical enjoymen; program notes; verbal overshadowing
Love is in the air': Effects of songs with romantic lyrics on compliance with a courtship request,2010,Psychology of Music,"Gueguen, Nicolas",France,France,NA,NA,183,18.7,0.6,Students,NA,Volunteer ,183,NA,NA,Pop,Wesern,precomposed,,Logan Barrett,courtship behaviour; lyrics; music
The effect of musical fit on consumers' memory,2010,Psychology of Music,"Yeoh, Joanne P.S.",Malaysia,Malaysia,China; Malaysia; india,Asian,120,24.3,6.55,Students,NA,Volunteer ,60,60,NA,Rock; Classical,Western,precomposed,,Logan Barrett,consumers; memory; music
"Body, time, space and relationship in th emusic listening experiences of women with chronic illness",2010,Psychology of Music,"Nicol, Jennifer J.",Canada,Canada,NA,NA,6,58,NA,NA,NA,Volunteer ,6,0,NA,NA,NA,NA,,Logan Barrett,chronic illness; music listening; hermeneutic-phenomenology; women
Musicians' memory for verbal and tonal materials under conditions of irrelevant sound,2010,Psychology of Music,"Williamon, Victoria J.",UK,UK,NA,NA,32,26,11.8,NA,Musicians,paid,23,9,NA,artificial,NA,experimenter-creater,,Logan Barrett,language; muic; musicians; short-term memory; working memory model
21st century conceptions of musical ability,2010,Psychology of Music,"Hallam, Susan",UK,UK,NA,NA,660,NA,NA,NA,NA,NA,212,447,NA,NA,NA,NA,,Logan Barrett,children; musical ability; musicians; perceptions
Musical Tension and the Interaction of Dynamic Auditory Parameters,2011,Music Perception,"Granot, Roni Y.",Israel,Israel,Israel,NA,132,NA,NA,University Students,musicians; non-musicians,paid,71,61,NA,artificial,NA,experimenter-created,,Thomas Anthony Graves,"musical tension, loudness, pitch register, pitch direction, ecological model"
Music is in the Muscle: How Embodied Cognition May Influence Music Preferences,2011,Music Perception,"Sedlmeier, Peter",Germany,Germany,NA,NA,90,NA,NA,University Students,NA,course credit,77,NA,NA,"western classical, latin","western, Bolivia",precomposed,,Thomas Anthony Graves,"music preference, embodiment, body movement, conditioning, dance"
Experiential and Cognitive Changes Following Seven Minutes Exposure to Music and Speech,2011,Music Perception,"Ilie, Gabriel",Canada,Canada,NA,NA,64,NA,NA,University Students,musicians,course credit,36,28,NA,western classical,western,precomposed,,Thomas Anthony Graves,"music psychology, music and emotion, creativity, speed of processing, mood induction"
"Analysis-By-Synthesis of Timbre, Timing, and Dynamics in Expressive Clarinet Performance",2011,Music Perception,"Barthet, Mathieu",France,France,NA,NA,20,NA,NA,University Students,musicians,NA,6,14,NA,western classical,western,semi-precomposed,,Thomas Anthony Graves,"timbre, timing, dynamics, expressive clarinet performance, preference"
Individual Differences in the Enjoyment of Negative Emotion in Music: A Literature Review and Experiment,2011,Music Perception,"Garrido, Sandra",Australia,Australia,NA,NA,59,22.27,NA,University Students,musicians,course credit,26,33,NA,NA,NA,NA,,Thomas Anthony Graves,"sad music, individual differences, dissociation, absorption, music empathy"
A Comparison of Rhythm in English Dialects and Music,2011,Music Perception,"McGowan, Rebecca W.",US,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"folk (fiddle, anglophone)",western,precomposed,"comparison of recordings of English dialects (US, Scottish, English) of musicians with their fiddle playing.",Thomas Anthony Graves,"speech rhythm, musical rhythm, dialects, nPVI, English"
"Music Notation, But Not Action on a Keyboard, Influences Pianists’ Judgments of Ambiguous Melodies",2011,Music Perception,"Repp, Bruno H.",US,US,NA,NA,12,NA,NA,University Students,musicians,paid,NA,NA,NA,artificial,NA,experimenter-created,,Thomas Anthony Graves,"tritone, tritone paradox, action, perception, ambiguous melodies"
Illusory Tempo Changes Due to Musical Characteristics,2011,Music Perception,"Boltz, Marilyn G.",US,US,NA,NA,36,NA,NA,University Students,musicians; non-musicians,course credit,NA,NA,NA,artificial,NA,experimenter-created,Artificial patterns of tones were created based on previous research on patterning in western classical music,Thomas Anthony Graves,"tempo, illusory perception, interactive perceptual dimensions, event rate, structural correlations"
Illusory Tempo Changes Due to Musical Characteristics,2011,Music Perception,"Boltz, Marilyn G.",US,US,NA,NA,36,NA,NA,University Students,musicians; non-musicians,course credit,NA,NA,NA,artificial,NA,experimenter-created,Artificial patterns of tones were created based on previous research on patterning in western classical music,Thomas Anthony Graves,"tempo, illusory perception, interactive perceptual dimensions, event rate, structural correlations"
Modeling Pattern Importance in Chopin’s Mazurkas,2011,Music Perception,"Collins, Tom",UK,UK,NA,NA,12,20.83,0.95,University Students,musicians,paid,5,7,NA,western classical,western,precomposed,,Thomas Anthony Graves,"pattern discovery, rating, music analysis, linear regression model, translation"
The Persistence of Musical Memories: A Descriptive Study of Earworms,2011,Music Perception,"Halpern, Andrea R.",US,US,NA,NA,21,NA,NA,University Students,musicians; non-musicians,NA,NA,NA,NA,NA,NA,NA,Survey and diary study of earworms - most were popular music,Thomas Anthony Graves,"earworms, music memory, auditory imagery, persistence, memory diary"
The Persistence of Musical Memories: A Descriptive Study of Earworms,2011,Music Perception,"Halpern, Andrea R.",US,US,NA,NA,41,NA,NA,University Students,NA,NA,NA,8,NA,NA,NA,NA,Earworm diary study,Thomas Anthony Graves,"earworms, music memory, auditory imagery, persistence, memory diary"
"The Ambiguous Tactus: Tempo, Subdivision Benefit, and Three Listener Strategies",2011,Music Perception,"Martens, Peter A.",US,US,NA,NA,29,NA,NA,University Students & wider community members,musicians; non-musicians,NA,16,13,NA,"western classical, eastern european folk, free jazz, sounds of nature, infant vocalizing and striking toy percussion","western, eastern european",precomposed,"24 participants were UG or PG students, 5 were ""members of the community at large""",Thomas Anthony Graves,"beat induction, meter, synchronization, tactus, beat-finding"
"The Performance of Notes Inégales: The Influence of Tempo, Musical Structure, and Individual Performance Style on Expressive Timing",2011,Music Perception,"Moelants, Dirk",Belgium,Belgium,NA,NA,,36.4,NA,NA,musicians,NA,8,8,NA,western classical,western,precomposed,,Thomas Anthony Graves,"rhythm, tempo, performance, baroque music, swing"
Probing the Minor Tonal Hierarchy,2011,Music Perception,"Vuvan, Dominique T.",Canada,Canada,NA,NA,16,18.9,1.4,University Students,musicians,NA,NA,NA,NA,artificial,NA,experimenter-created,Stimuli created based on tonal structures of western classical music using grand piano MIDI sound.,Thomas Anthony Graves,"tonality, music perception, minor key, pitch, probe tone"
Absolute Tempo in Multiple Performances of Aboriginal Songs: Analyzing Recordings of Djanba 12 and Djanba 14,2011,Music Perception,"Bailes, Freya",Australia,Australia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,djanba (Australian aboriginal - ceremonial music of Murriny Patha people),Australia,precomposed,,Thomas Anthony Graves,"absolute tempo, Aboriginal dance-song, tempo stability, memory, performance"
Synchronization Error of Drum Kit Playing with a Metronome at Different Tempi by Professional Drummers,2011,Music Perception,"Fujii, Shinya",Japan,Japan,NA,NA,15,40.33,NA,NA,musicians,NA,2,13,NA,NA,NA,precomposed,"Drummers (on a modern drum kit) performed during the experiment - they were asked to play ""a simple beat"". Genre is not mentioned, although the drumers were all professionals and had toured with bands, so it is possible that it was popular music.",Thomas Anthony Graves,"sensorimotor synchronization, synchronization error, asynchrony, drum kit playing, drummers"
"Musician Advantages in Music Perception: An Issue of Motivation, Not Just Ability",2011,Music Perception,"McAuley, J. Devin",US,US,NA,NA,52,25.3,8.8,University Students,musicians; non-musicians,course credit or paid,30,NA,NA,artificial,NA,experimenter-created,"Stimuli were from a previously existing set of exercises created by another group of researchers in the Montreal Battery of Evaluation of Amusia (MBEA), composed in the style of western classical music.",Thomas Anthony Graves,"music training, regulatory focus, regulatory fit, MBEA, motivation"
"Musician Advantages in Music Perception: An Issue of Motivation, Not Just Ability",2011,Music Perception,"McAuley, J. Devin",US,US,NA,NA,76,19.3,1.6,University Students,NA,course credit,64,NA,NA,artificial,NA,experimenter-created,"Stimuli were from a previously existing set of exercises created by another group of researchers in the Montreal Battery of Evaluation of Amusia (MBEA), composed in the style of western classical music.",Thomas Anthony Graves,"music training, regulatory focus, regulatory fit, MBEA, motivation"
