"","PaperTitle","Year","Journal","FirstAuthorName_cleaned","FirstAuthorCountry","CountryDataCollected","SamplePrimaryCountryofOrigin","Ethnicity","SampleSize","SampleAgeMean","SampleAgeSD","FemaleParticipantsNumber","MaleParticipantsNumber","SampleMusicianshipDescription","SamplingMethodDescription","SampleOtherDescription","MeanYearsEducation","MusicPrimaryGenre","MusicOriginCountry","MusicSource","Comments","CoderName","Keywords"
"11","The perception of structural boundaries in polyphonic representations of western popular music",2010,"Musicae Scientiae","Bruderer, Michael J.","Netherlands","Netherlands",NA,NA,"20","27.3","4.8",NA,NA,"non-musicians",NA,NA,NA,"pop","Western","precomposed","","LB","music segmentation; popular music; perceptual cues; boundary salience; polyphony"
"12","The perception of structural boundaries in polyphonic representations of western popular music",2010,"Musicae Scientiae","Bruderer, Michael J.","Netherlands","Netherlands",NA,NA,"15","26.9","4.4",NA,NA,"non-musicians",NA,NA,NA,"pop","Western","precomposed","","LB","music segmentation; popular music; perceptual cues; boundary salience; polyphony"
"13","The effects of musical fit on choice between two competing foods",2010,"Musicae Scientiae","Yeoh, Joanne P.S.","UK","Malaysia","Malaysia; China; India","Asian","30; 30; 30","19.82","1.79","15; 15; 15","15; 15; 15",NA,NA,"university students",NA,"classical","Western; Malaysia","precomposed","","LB","music; consumers; food; preference; choice"
"14","The effects of musical fit on choice between two competing foods",2010,"Musicae Scientiae","Yeoh, Joanne P.S.","UK","Malaysia","Malaysia; China; India","Asian","60; 60; 60","21.79","2.04","30; 30; 30","30; 30; 30",NA,NA,"university students",NA,"classical","Malaysia; India","precomposed","","LB","music; consumers; food; preference; choice"
"15","A preliminary investigation into the association between body movement patterns and dynamic variation in western contemporary popular singing",2010,"Musicae Scientiae","Turner, Gemma","Australia","Australia",NA,NA,"6",NA,NA,"5","1","musicians",NA,NA,NA,"pop","Western","precomposed","","LB","western contemporary popular singing; body movement; sound pressure level; subglottal pressure; dynamic variation"
"16","Musical tastes of secondary school students' with different cultural backgrounds: a study in the spanis north african city of Melilla",2010,"Musicae Scientiae","Cremades, Roberto","Spain","Spain","Spain","other","667","14.28",NA,"344","323","non-musicians",NA,"university students",NA,NA,NA,NA,"","LB",NA
"17","Mobile listening situaltions in everyday life: The use of MP3 players while traveling",2010,"Musicae Scientiae","Heye, Andreas","Germany","UK",NA,NA,"428","20.4","2.15","182","246",NA,"volunteer","university students",NA,NA,NA,NA,"","LB",NA
"18","Percieved improvement in vocal performance following teriary-level classical vocal training: do listeners hear systematic progress?",2010,"Musicae Scientiae","Mitchell, Helen F. ","Australia","Australia",NA,NA,"10","59",NA,"9","1","musicians","paid",NA,NA,"classical","Western","precomposed","","LB","singing voice; voice quality; vocal training; perceptual evaluation; longitudinal"
"19","Comparison of rhythm in musical scores and performances as measured with Pairwise Variability Index",2010,"Musicae Scientiae","Raju, Marju","Estonia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"classical","Estonia","precomposed","","LB","normalized Pairwise Variability Index(nPVI); culture; score; performance; rhythmic contrast"
"20","Comparison of rhythm in musical scores and performances as measured with Pairwise Variability Index",2010,"Musicae Scientiae","Raju, Marju","Estonia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"classical","Estonia","precomposed","","LB","normalized Pairwise Variability Index(nPVI); culture; score; performance; rhythmic contrast"
"21","Perception of Emotion in Sounded and Imagined Music",2010,"Music Perception","Lucas, Brian J.","US","US",NA,NA,"17",NA,NA,"13","4","non-musicians","course credit","university students",NA,"classical","Western","precomposed","","LB","musical imagery; emotion; continuous response; cross-correlation; arousal "
"22","Perception of Emotion in Sounded and Imagined Music",2010,"Music Perception","Lucas, Brian J.","US","US",NA,NA,"11",NA,NA,"8","3","non-musicians",NA,"university students",NA,"classical","Western","precomposed","","LB","musical imagery; emotion; continuous response; cross-correlation; arousal "
"23","Modeling Common-Practice Rhythm",2010,"Music Perception","Temperley, David","US",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"folk; classical","Western","precomposed","","LB","rhythm; meter; music composition; cross-entropy; probabilistic modeling"
"24","Self-Generated Interval Subdivision Reduces Variability of Synchronization With A Very Slow Metronome",2010,"Music Perception","Repp, Bruno H.","US","US",NA,NA,"6",NA,NA,"4","2","musicians","paid","university students",NA,"artificial",NA,"precomposed","","LB","syncronization; subdivision; tapping; interval timing; timing variability"
"25","Humans Rapidly Learn Grammatical Structure in a New Musical Scale",2010,"Music Perception","Loui, Psyche","US","US",NA,NA,"22",NA,NA,"17","5","musicians","course credit","university students",NA,"artificial",NA,"experimenter-created","","LB","statistical learning; auditory perception; music cogniton; preference; grammar"
"26","Humans Rapidly Learn Grammatical Structure in a New Musical Scale",2010,"Music Perception","Loui, Psyche","US","US",NA,NA,"24",NA,NA,"13","11","musicians","course credit","university students",NA,"artificial",NA,"experimenter-created","","LB","statistical learning; auditory perception; music cogniton; preference; grammar"
"27","Humans Rapidly Learn Grammatical Structure in a New Musical Scale",2010,"Music Perception","Loui, Psyche","US","US",NA,NA,"24",NA,NA,"13","11","non-musicians","course credit","university students",NA,"artificial",NA,"experimenter-created","","LB","statistical learning; auditory perception; music cogniton; preference; grammar"
"28","Plink: ""Thin Slices"" of Music",2010,"Music Perception","Krumhansl, Carol L.","US","US",NA,NA,"23","20.5",NA,NA,NA,NA,"course credit","university students",NA,"pop","Western","precomposed","","LB","music memory; meta-memory; popular music; emotion; style"
"29","Plink: ""Thin Slices"" of Music",2010,"Music Perception","Krumhansl, Carol L.","US","US",NA,NA,"36","21.1",NA,NA,NA,NA,"course credit","university students",NA,"pop","Western","precomposed","","LB","music memory; meta-memory; popular music; emotion; style"
"30","Music in the Treatment of Affective Disorders: An exploratory Investigation of a New Method for Music-Therapeutic Research",2010,"Music Perception","Koelsch, Stefan","Germany","Germany",NA,NA,"154","24.6",NA,"78","76","non-musicians",NA,NA,NA,"classical","Western","precomposed","","LB","music therapy; neuroscience; emotiomn; social cognition; depression"
"31","Music-Supported Training is More Efficient than Functional Motor Training for Recovery of Fine Motor Skills in Stroke Patients",2010,"Music Perception","Schneider, Sabine","Germany","Germany",NA,NA,"77",NA,NA,"27","50",NA,NA,"patients",NA,"artificial",NA,"other","","LB","neurorehabilitation; music-supported training; stroke; functional motor training; auditory-sensory-motor integration"
"32","Spatiotemporal Relations and Movement Trajectories in Visuomotor Synchroniation",2010,"Music Perception","Hove, Michael J.","Germany","Germany",NA,NA,"8","23.8",NA,"4","4",NA,"paid","university students",NA,"artificial",NA,"experimenter-created","","LB","synchronization; finger tapping; timing; visuomotor synchrony, motion capture"
"33","The Spatoptemporal representation of dance and music gestures using topological gesture analysis(TGA)",2010,"Music Perception","Naveda, Luiz","Belgium","Belgium",NA,NA,"4",NA,NA,"4","0",NA,NA,NA,NA,"Latin; jazz","Brazil","precomposed","","LB","musical gesture; dance; topology; musical meter; variability"
"34","Basic Gestures as Spatiotemporal Reference Frames for Repetitive Dance/Music Patterns in Samba and Charleston",2010,"Music Perception","Leman, Marc","Belgium","Belgium","Belgium",NA,"3",NA,NA,"3","0",NA,NA,NA,NA,"Latin; jazz","Brazil","precomposed","","LB","basic gesture; dance; spatiotemporal reference; samba; Charleston"
"35","No Sustained Sound Illusion in Rhythmic Sequences",2010,"Music Perception","Repp, Bruno H.","US","US",NA,NA,"9",NA,NA,"6","3",NA,NA,"university students",NA,"artificial",NA,"experimenter-created","","LB","time perception; filed duration illusion; interval subdivision; tempo perception; sound offset perception"
"36","No Sustained Sound Illusion in Rhythmic Sequences",2010,"Music Perception","Repp, Bruno H.","US","US",NA,NA,"8",NA,NA,NA,NA,NA,NA,"university students",NA,"artificial",NA,"experimenter-created","","LB","time perception; filed duration illusion; interval subdivision; tempo perception; sound offset perception"
"37","Exploring Perceptual and Acoustical Correlates of Polyphonic TImbre",2010,"Music Perception","Alluri, Vinoo","Finland","Finland",NA,NA,"71","24.8","6.8","39","32",NA,NA,"university students",NA,"pop","India","precomposed","","LB","polyphonic timbre; bipolar scales; computational analysis; acoustic features; modeling"
"38","Exploring Perceptual and Acoustical Correlates of Polyphonic TImbre",2010,"Music Perception","Alluri, Vinoo","Finland","Finland",NA,NA,"35","25.3","4.1","15","20",NA,NA,NA,NA,"pop","India","precomposed","","LB","polyphonic timbre; bipolar scales; computational analysis; acoustic features; modeling"
"39","Agressiveness of the Growl-like Timbre: Acoustic Characteristics, Musical Implications. and Biomechanical Mechanisms",2010,"Music Perception","Tsai, Chen-Gia","Taiwan","Taiwan",NA,NA,"8","22.3","1.4","0","8","non-musicians","paid","university students",NA,NA,NA,NA,"","LB","growl; agressiveness; Beijing opera; heavy metal; spine stability"
"40","Agressiveness of the Growl-like Timbre: Acoustic Characteristics, Musical Implications. and Biomechanical Mechanisms",2010,"Music Perception","Tsai, Chen-Gia","Taiwan","Taiwan",NA,NA,"28","20.1","1.7",NA,NA,NA,NA,"university students",NA,NA,NA,"semi-precomposed","","LB","growl; agressiveness; Beijing opera; heavy metal; spine stability"
"41","Nonperformance, as well as Performance, based Music Engagement Predicts Verbal Recall",2010,"Music Perception","Chin, TanChyuan","Australia","Australia",NA,NA,"98","24.87","6.86","66","32",NA,"volunteer",NA,NA,NA,NA,NA,"","LB","music training; cognitive functioning; nonmusician; affective engagement; music listening"
"42","Embodied Meter: Hierarchical Eigenmodes in Music-Induced Movement",2010,"Music Perception","Toiviainen, Petri","Finland","Finland",NA,NA,"18","24.2","3.9","12","6",NA,"paid","university students",NA,"artificial","Western","experimenter-created","","LB","music; movement; synchronization; meter; embodiment"
"43","Perception of Expression in Conductors' Gestures: A Continuous Response Study",2010,"Music Perception","Luck, Geoff","Finland","Finland",NA,NA,"24","24.6","2.7","16","8",NA,"paid","university students",NA,"classical","Western","precomposed","","LB","expressiveness; movement kinematics; regression; continuous response; point-light display"
"44","Individual Differences, Auditory Imagery, and The Coordination of Body Movements and Sounds in Musical Ensembles",2010,"Music Perception","Keller, Peter E.","Germany","Germany",NA,NA,"14","26",NA,"4","10",NA,"paid",NA,NA,"classical","Western","precomposed","","LB","ensemble coordination; music performance; auditory imagery; movement kinematics; individual differences"
"45","Intensity of Emotions Conveyed and Elicited by Familiar and Unfamiliar Music",2010,"Music Perception","Ali, S. Omar","US","US",NA,NA,"64",NA,NA,NA,NA,NA,"course credit","university students",NA,"classical; jazz; soundtracks","Western","precomposed","","LB","music; emotion; familiarity; preference; repetition"
"46","Intensity of Emotions Conveyed and Elicited by Familiar and Unfamiliar Music",2010,"Music Perception","Ali, S. Omar","US","US",NA,NA,"44",NA,NA,NA,NA,NA,"course credit","university students",NA,"classical; jazz; soundtracks","Western","precomposed","","LB","music; emotion; familiarity; preference; repetition"
"47","Intensity of Emotions Conveyed and Elicited by Familiar and Unfamiliar Music",2010,"Music Perception","Ali, S. Omar","US","US",NA,NA,"64",NA,NA,NA,NA,NA,"course credit","university students",NA,"classical; jazz; soundtracks","Western","precomposed","","LB","music; emotion; familiarity; preference; repetition"
"48","Melodic Contour Similarity Using Folk Melodies",2010,"Music Perception","Schmuckler, Mark A.","Canada","Canada",NA,NA,"16","19.6","1.5",NA,NA,"musicians","course credit","university students",NA,"folk","Western","precomposed","","LB","melodic contour; melodic perception; melodic similarity; Fourier analysis; time series analysis"
"49","Melodic Contour Similarity Using Folk Melodies",2010,"Music Perception","Schmuckler, Mark A.","Canada","Canada",NA,NA,"18","19.8","1.6",NA,NA,"musicians","course credit","university students",NA,"folk","Western","precomposed","","LB","melodic contour; melodic perception; melodic similarity; Fourier analysis; time series analysis"
"50","Melodic Contour Similarity Using Folk Melodies",2010,"Music Perception","Schmuckler, Mark A.","Canada","Canada",NA,NA,"25","20.8","2",NA,NA,"musicians","course credit","university students",NA,"folk","Western","precomposed","","LB","melodic contour; melodic perception; melodic similarity; Fourier analysis; time series analysis"
"51","Musical Enculturation in Preschool Children: Acquisition of Key and Harmonic Knowledge",2010,"Music Perception","Corrigall, Kathleen","Canada","Canada","Canada",NA,"52","4.5","0.3","37","15","non-musicians","other","children",NA,"childrens","Western","semi-precomposed","","LB","key membership; harmony; tonality; musical enculturation; pitch"
"52","Participatory Discrepancies and the Perception of Beats in Jazz",2010,"Music Perception","Butterfield, Matthew","US","US",NA,NA,"63",NA,NA,NA,NA,NA,NA,"university students",NA,"jazz","Western","experimenter-created","","LB","jazz rhythm; swing; participatory discrepancies; microtiming; metric entrainment"
"53","Participatory Discrepancies and the Perception of Beats in Jazz",2010,"Music Perception","Butterfield, Matthew","US","US",NA,NA,"22",NA,NA,NA,NA,NA,NA,"university students",NA,"jazz","Western","precomposed","","LB","jazz rhythm; swing; participatory discrepancies; microtiming; metric entrainment"
"54","Musical identities in transition: Solo-piano students' accounts of entering the academy",2010,"Psychology of Music","Juuti, Sini","Finland","Finland","Finland",NA,"10",NA,NA,"7","3",NA,"volunteer","university students",NA,NA,NA,NA,"","LB","identity work; novices; postgraduate-level music students; research interviews; transition"
"55","Effects of Structure and serial postion on memory errors in musical performance",2010,"Psychology of Music","Mishra, Jennifer","US","US",NA,NA,"20",NA,NA,"12","8","musicians",NA,"university students",NA,"classical","Western","precomposed","","LB","memorisation; memory errors; musical structure; primacy; recency; serial order"
"56","Effects of Structure and serial postion on memory errors in musical performance",2010,"Psychology of Music","Mishra, Jennifer","US","US",NA,NA,"23",NA,NA,"11","12","musicians",NA,"university students",NA,"classical","Western","precomposed","","LB","memorisation; memory errors; musical structure; primacy; recency; serial order"
"57","Non-musicians' and musicians' perception of bitonality",2010,"Psychology of Music","Hamamoto, Mayumi","US","US",NA,NA,"42",NA,NA,NA,NA,"musicians; non-musicians",NA,"university students",NA,"classical; pop","Western","precomposed; semi-precomposed","","LB","bitonality; musicians; non-musicians; perception; tonality"
"58","Interpersonal interaction within the violin studio: The influence of inerpersonal dynamics on outcomes for teachers",2010,"Psychology of Music","Creech, Andrea","UK","UK",NA,NA,"263",NA,NA,"220","39","musicians","volunteer",NA,NA,NA,NA,NA,"","LB","efficacy; instrumental teachers; interpersonal interaction; involvement; professional satisfaction"
"59","Perceptual organization can affect peformance on rhyhmic tasks",2010,"Psychology of Music","Mclaughlin, Pat","US","US",NA,NA,"27","20.85",NA,"3","24","musicians","volunteer","university students",NA,"artificial",NA,"experimenter-created","","LB","perception; percussion; performance; rhythm"
"60","Short- and long-term musical preferences: what makes a favourite piece of music?",2010,"Psychology of Music","Lamont, Alexandra","UK","UK",NA,NA,"9","21.58",NA,"6","3","non-musicians","volunteer","university students",NA,NA,NA,"precomposed","","LB","everyday life; favourites; lifespan; listening; musical preference"
"61","Music lessons, pitch processing, and g",2010,"Psychology of Music","Schellenberg, E. Glenn","Canada","Canada",NA,NA,"40","19.9","1.6","30","10","musicians; non-musicians","course credit; paid","university students",NA,"artificial",NA,"experimenter-created","","LB","executive function; intelligence; music lessons; pitch perception; relative pitch"
"62","One-to-one tuition in a conservatiore: the perception of instrumental and vocal students",2010,"Psychology of Music","Gaun, Helena","UK","UK",NA,NA,"20",NA,NA,"8","12","musicians","volunteer","university students",NA,NA,NA,NA,"","LB","autonomy in learning; instrumental teaching; one-to-one relationship; power relationships"
"63","Posh music should equal posh dress': an investigation into the concert dress and physical appearance of female soloists",2010,"Psychology of Music","Griffiths, Noola K.","UK","UK",NA,NA,"30","22.43","3.256","15","15","musicians",NA,"university students",NA,"classical; jazz; folk","Western","semi-precomposed","","LB","appropriate dress; body movement style; performance ratings"
"64","A limiting feature of the Mozart effect: listening enhances mental rotation abilities in non-musicians but not musicians",2010,"Psychology of Music","Aheadi, Afshid","UK","UK",NA,NA,"100",NA,NA,NA,NA,"musicians; non-musicians","volunteer","university students",NA,"classical","Western","precomposed","","LB","cognition; enhancement; Mozart; musical experience; spatial abilities"
"65","Music performance teachers' conceptions about learning and instruction: a descriptive study of Spanish piano teachers",2010,"Psychology of Music","Bautista, Alfredo","Spain","Spain","Spain",NA,"45","36.71","11.1","21","24","musicians","volunteer",NA,NA,NA,NA,NA,"","LB","conceptions about learning and instruction; conceptual change; piano teachers; teaching experience"
"66","From Death meal to R&B? Consistency of musical preferences among Dutch adolescents and young adults",2010,"Psychology of Music","Mulder, Juul","Netherlands","Netherlands","Netherlands",NA,"236","19.65","3.49","118","118",NA,"paid",NA,NA,"pop","Western","precomposed","","LB","music taste; popular music; q-correlation; stability; youth"
"67","Perception and predictions of expertise in advanced musical learners",2010,"Psychology of Music","Papageorgi, Ioulia ","UK","UK",NA,NA,"244",NA,NA,"134","110","musicians","volunteer",NA,NA,"classical","Western",NA,"","LB","expertise development; gender; musical genre; musical performance; skill acquisition"
"68","Using graphical notations to assess children’s experiencing of simple and complex musical fragments",2010,"Psychology of Music","Verschaffel, Lieven","Belgium","Belgium",NA,NA,"116",NA,NA,NA,NA,NA,NA,NA,NA,"artificial",NA,"experimenter-created","","LB","graphical notations; music education; representation"
"69","When program notes don't help: Music descriptions and enjoyment",2010,"Psychology of Music","Margulis, Elizabeth Hellmuth","US","US",NA,NA,"16",NA,NA,NA,NA,"non-musicians","volunteer","university students",NA,"classical","Western","precomposed","","LB","musical description; conceptualization; musical enjoymen; program notes; verbal overshadowing"
"70","Love is in the air': Effects of songs with romantic lyrics on compliance with a courtship request",2010,"Psychology of Music","Gueguen, Nicolas","France","France",NA,NA,"183","18.7","0.6","183",NA,NA,"volunteer","university students",NA,"pop","Western","precomposed","","LB","courtship behaviour; lyrics; music"
"71","The effect of musical fit on consumers' memory",2010,"Psychology of Music","Yeoh, Joanne P.S.","Malaysia","Malaysia","China; Malaysia; India","Asian","40; 40; 40","24.3","6.55","20; 20; 20","20; 20; 20",NA,"volunteer","university students",NA,"classical; rock","Western","precomposed","","LB","consumers; memory; music"
"72","Body, time, space and relationship in th emusic listening experiences of women with chronic illness",2010,"Psychology of Music","Nicol, Jennifer J.","Canada","Canada",NA,NA,"6","58",NA,"6","0",NA,"volunteer",NA,NA,NA,NA,NA,"","LB","chronic illness; music listening; hermeneutic-phenomenology; women"
"73","Musicians' memory for verbal and tonal materials under conditions of irrelevant sound",2010,"Psychology of Music","Williamson. Victoria J.","UK","UK",NA,NA,"32","26","11.8","23","9","musicians","paid",NA,NA,"artificial",NA,"experimenter-created","","LB","language; muic; musicians; short-term memory; working memory model"
"74","21st century conceptions of musical ability",2010,"Psychology of Music","Hallam, Susan","UK","UK",NA,NA,"660",NA,NA,"212","447",NA,NA,NA,NA,NA,NA,NA,"","LB","children; musical ability; musicians; perceptions"
"75","Musical Tension and the Interaction of Dynamic Auditory Parameters",2011,"Music Perception","Granot, Roni Y.","Israel","Israel","Israel",NA,"132",NA,NA,"71","61","musicians; non-musicians","paid","university students",NA,"artificial",NA,"experimenter-created","","TG","musical tension, loudness, pitch register, pitch direction, ecological model"
"76","Music is in the Muscle: How Embodied Cognition May Influence Music Preferences",2011,"Music Perception","Sedlmeier, Peter","Germany","Germany",NA,NA,"90",NA,NA,"77",NA,NA,"course credit","university students",NA,"classical; Latin","Western; Bolivia","precomposed","","TG","music preference, embodiment, body movement, conditioning, dance"
"77","Experiential and Cognitive Changes Following Seven Minutes Exposure to Music and Speech",2011,"Music Perception","Ilie, Gabriel","Canada","Canada",NA,NA,"64",NA,NA,"36","28","musicians","course credit","university students",NA,"classical","Western","precomposed","","TG","music psychology, music and emotion, creativity, speed of processing, mood induction"
"78","Analysis-By-Synthesis of Timbre, Timing, and Dynamics in Expressive Clarinet Performance",2011,"Music Perception","Barthet, Mathieu","France","France",NA,NA,"20",NA,NA,"6","14","musicians",NA,"university students",NA,"classical","Western","semi-precomposed","","TG","timbre, timing, dynamics, expressive clarinet performance, preference"
"79","Individual Differences in the Enjoyment of Negative Emotion in Music: A Literature Review and Experiment",2011,"Music Perception","Garrido, Sandra","Australia","Australia",NA,NA,"59","22.27",NA,"26","33","musicians","course credit","university students",NA,NA,NA,NA,"","TG","sad music, individual differences, dissociation, absorption, music empathy"
"80","A Comparison of Rhythm in English Dialects and Music",2011,"Music Perception","McGowan, Rebecca W.","US",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"folk","Western","precomposed","comparison of recordings of English dialects (US, Scottish, English) of musicians with their fiddle playing.","TG","speech rhythm, musical rhythm, dialects, nPVI, English"
"81","Music Notation, But Not Action on a Keyboard, Influences Pianists’ Judgments of Ambiguous Melodies",2011,"Music Perception","Repp, Bruno H.","US","US",NA,NA,"12",NA,NA,NA,NA,"musicians","paid","university students",NA,"artificial",NA,"experimenter-created","","TG","tritone, tritone paradox, action, perception, ambiguous melodies"
"82","Illusory Tempo Changes Due to Musical Characteristics",2011,"Music Perception","Boltz, Marilyn G.","US","US",NA,NA,"36",NA,NA,NA,NA,"musicians; non-musicians","course credit","university students",NA,"artificial",NA,"experimenter-created","Artificial patterns of tones were created based on previous research on patterning in western classical music","TG","tempo, illusory perception, interactive perceptual dimensions, event rate, structural correlations"
"83","Illusory Tempo Changes Due to Musical Characteristics",2011,"Music Perception","Boltz, Marilyn G.","US","US",NA,NA,"36",NA,NA,NA,NA,"musicians; non-musicians","course credit","university students",NA,"artificial",NA,"experimenter-created","Artificial patterns of tones were created based on previous research on patterning in western classical music","TG","tempo, illusory perception, interactive perceptual dimensions, event rate, structural correlations"
"84","Modeling Pattern Importance in Chopin’s Mazurkas",2011,"Music Perception","Collins, Tom","UK","UK",NA,NA,"12","20.83","0.95","5","7","musicians","paid","university students",NA,"classical","Western","precomposed","","TG","pattern discovery, rating, music analysis, linear regression model, translation"
"85","The Persistence of Musical Memories: A Descriptive Study of Earworms",2011,"Music Perception","Halpern, Andrea R.","US","US",NA,NA,"21",NA,NA,NA,NA,"musicians; non-musicians",NA,"university students",NA,NA,NA,NA,"Survey and diary study of earworms - most were popular music","TG","earworms, music memory, auditory imagery, persistence, memory diary"
"86","The Persistence of Musical Memories: A Descriptive Study of Earworms",2011,"Music Perception","Halpern, Andrea R.","US","US",NA,NA,"41",NA,NA,NA,"8",NA,NA,"university students",NA,NA,NA,NA,"Earworm diary study","TG","earworms, music memory, auditory imagery, persistence, memory diary"
"87","The Ambiguous Tactus: Tempo, Subdivision Benefit, and Three Listener Strategies",2011,"Music Perception","Martens, Peter A.","US","US",NA,NA,"29",NA,NA,"16","13","musicians; non-musicians",NA,"university+",NA,"classical; folk; jazz; nature sounds; infant vocalizing and striking toy percussion","Western","precomposed","24 participants were UG or PG students, 5 were ""members of the community at large""","TG","beat induction, meter, synchronization, tactus, beat-finding"
"88","The Performance of Notes Inégales: The Influence of Tempo, Musical Structure, and Individual Performance Style on Expressive Timing",2011,"Music Perception","Moelants, Dirk","Belgium","Belgium",NA,NA,"","36.4",NA,"8","8","musicians",NA,NA,NA,"classical","Western","precomposed","","TG","rhythm, tempo, performance, baroque music, swing"
"89","Probing the Minor Tonal Hierarchy",2011,"Music Perception","Vuvan, Dominique T.","Canada","Canada",NA,NA,"16","18.9","1.4",NA,NA,"musicians",NA,"university students",NA,"artificial",NA,"experimenter-created","Stimuli created based on tonal structures of western classical music using grand piano MIDI sound.","TG","tonality, music perception, minor key, pitch, probe tone"
"90","Absolute Tempo in Multiple Performances of Aboriginal Songs: Analyzing Recordings of Djanba 12 and Djanba 14",2011,"Music Perception","Bailes, Freya","Australia","Australia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"djanba (Australian aboriginal)","Australia","precomposed","","TG","absolute tempo, Aboriginal dance-song, tempo stability, memory, performance"
"91","Synchronization Error of Drum Kit Playing with a Metronome at Different Tempi by Professional Drummers",2011,"Music Perception","Fujii, Shinya","Japan","Japan",NA,NA,"15","40.33",NA,"2","13","musicians",NA,NA,NA,NA,NA,"precomposed","Drummers (on a modern drum kit) performed during the experiment - they were asked to play ""a simple beat"". Genre is not mentioned, although the drumers were all professionals and had toured with bands, so it is possible that it was popular music.","TG","sensorimotor synchronization, synchronization error, asynchrony, drum kit playing, drummers"
"92","Musician Advantages in Music Perception: An Issue of Motivation, Not Just Ability",2011,"Music Perception","McAuley, J. Devin","US","US",NA,NA,"52","25.3","8.8","30",NA,"musicians; non-musicians","course credit; paid","university students",NA,"artificial",NA,"experimenter-created","Stimuli were from a previously existing set of exercises created by another group of researchers in the Montreal Battery of Evaluation of Amusia (MBEA), composed in the style of western classical music.","TG","music training, regulatory focus, regulatory fit, MBEA, motivation"
"93","Musician Advantages in Music Perception: An Issue of Motivation, Not Just Ability",2011,"Music Perception","McAuley, J. Devin","US","US",NA,NA,"76","19.3","1.6","64",NA,NA,"course credit","university students",NA,"artificial",NA,"experimenter-created","Stimuli were from a previously existing set of exercises created by another group of researchers in the Montreal Battery of Evaluation of Amusia (MBEA), composed in the style of western classical music.","TG","music training, regulatory focus, regulatory fit, MBEA, motivation"
