PaperTitle,Year,Journal,FirstAuthorName,FirstAuthorCountry,CountryDataCollected,SamplePrimaryCountryofOrigin,Ethnicity,SampleSize,SampleAgeMean,SampleAgeSD,FemaleParticipantsNumber,MaleParticipantsNumber,,SampleOtherDescription,SampleMusicianshipDescription,SamplingMethodDescription,MeanYearsEducation,MusicPrimaryGenre,MusicOriginCountry,MusicSource,Comments,CoderName,Keywords
Percieved improvement in vocal performance following teriary-level classical vocal training: do listeners hear systematic progress?,2010,Musicae Scientiae,"Mitchell, Helen F.",Australia,Australia,NA,NA,10,59,NA,9,1,,Teachers,Musicians,Paid,NA,Classical,Western,precomposed,,Logan Barrett,singing voice; voice quality; vocal training; perceptual evaluation; longitudinal
Comparison of rhythm in musical scores and performances as measured with Pairwise Variability Index,2010,Musicae Scientiae,"Raju, Marju",Estonia,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,Classical,Estonia,precomposed,,Logan Barrett,normalized Pairwise Variability Index(nPVI); culture; score; performance; rhythmic contrast
Comparison of rhythm in musical scores and performances as measured with Pairwise Variability Index,2010,Musicae Scientiae,"Raju, Marju",Estonia,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,Classical,Estonia,precomposed,,Logan Barrett,normalized Pairwise Variability Index(nPVI); culture; score; performance; rhythmic contrast
Perception of Emotion in Sounded and Imagined Music,2010,Music Perception,"Lucas, Brian J.",US,US,NA,NA,17,NA,NA,13,4,,Students,non-Musicians,course credit,NA,Classical,Western,precomposed,,Logan Barrett,musical imagery; emotion; continuous response; cross-correlation; arousal 
Perception of Emotion in Sounded and Imagined Music,2010,Music Perception,"Lucas, Brian J.",US,US,NA,NA,11,NA,NA,8,3,,Students,non-Musicians,NA,NA,Classical,Western,precomposed,,Logan Barrett,musical imagery; emotion; continuous response; cross-correlation; arousal 
Modeling Common-Practice Rhythm,2010,Music Perception,"Temperley, David",US,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,Folk; Classical,Western,precomposed,,Logan Barrett,rhythm; meter; music composition; cross-entropy; probabilistic modeling
Self-Generated Interval Subdivision Reduces Variability of Synchronization With A Very Slow Metronome,2010,Music Perception,"Repp, Bruno H.",US,US,NA,NA,6,NA,NA,4,2,,Students,musicians,paid,NA,artificial,NA,precomposed,,Logan Barrett,syncronization; subdivision; tapping; interval timing; timing variability
Humans Rapidly Learn Grammatical Structure in a New Musical Scale,2010,Music Perception,"Loui, Psyche",US,US,NA,NA,22,NA,NA,17,5,,Students,musicians,course credit,NA,artificial,NA,experimenter-creater,,Logan Barrett,statistical learning; auditory perception; music cogniton; preference; grammar
Humans Rapidly Learn Grammatical Structure in a New Musical Scale,2010,Music Perception,"Loui, Psyche",US,US,NA,NA,24,NA,NA,13,11,,Students,musicians,course credit,NA,artificial,NA,experimenter-creater,,Logan Barrett,statistical learning; auditory perception; music cogniton; preference; grammar
Humans Rapidly Learn Grammatical Structure in a New Musical Scale,2010,Music Perception,"Loui, Psyche",US,US,NA,NA,24,NA,NA,13,11,,Students,non-Musicians,course credit,NA,artificial,NA,experimenter-creater,,Logan Barrett,statistical learning; auditory perception; music cogniton; preference; grammar
"Plink: ""Thin Slices"" of Music",2010,Music Perception,"Krumhansl, Carol L.",US,US,NA,NA,23,20.5,NA,NA,NA,,Students,NA,course credit,NA,Pop,Western,precomposed,,Logan Barrett,music memory; meta-memory; popular music; emotion; style
"Plink: ""Thin Slices"" of Music",2010,Music Perception,"Krumhansl, Carol L.",US,US,NA,NA,36,21.1,NA,NA,NA,,Students,NA,course credit,NA,Pop,Western,precomposed,,Logan Barrett,music memory; meta-memory; popular music; emotion; style
Music in the Treatment of Affective Disorders: An exploratory Investigation of a New Method for Music-Therapeutic Research,2010,Music Perception,"Koelsch, Stefan",Germany,Germany,NA,NA,154,24.6,NA,78,76,,NA,non-Musicians,NA,NA,Classical,Western,precomposed,,Logan Barrett,music therapy; neuroscience; emotiomn; social cognition; depression
Music-Supported Training is More Efficient than Functional Motor Training for Recovery of Fine Motor Skills in Stroke Patients,2010,Music Perception,"Schneider, Sabine",Germany,Germany,NA,NA,77,NA,NA,27,50,,Patients,NA,NA,NA,artificial,NA,Other,,Logan Barrett,neurorehabilitation; music-supported training; stroke; functional motor training; auditory-sensory-motor integration
Spatiotemporal Relations and Movement Trajectories in Visuomotor Synchroniation,2010,Music Perception,"Hove, Michael J.",Germany,Germany,NA,NA,8,23.8,NA,4,4,,Students,NA,paid,NA,artificial,NA,experimenter-creater,,Logan Barrett,"synchronization; finger tapping; timing; visuomotor synchrony, motion capture"
The Spatoptemporal representation of dance and music gestures using topological gesture analysis(TGA),2010,Music Perception,"Naveda, Luiz",Belgium,Belgium,NA,NA,4,NA,NA,4,0,,Dancers,NA,NA,NA,Latin; Jazz,Brazil,precomposed,,Logan Barrett,musical gesture; dance; topology; musical meter; variability
Basic Gestures as Spatiotemporal Reference Frames for Repetitive Dance/Music Patterns in Samba and Charleston,2010,Music Perception,"Leman, Marc",Belgium,Belgium,Belgium,NA,3,NA,NA,3,0,,Dancers,NA,NA,NA,Latin; Jazz,Brazil,precomposed,,Logan Barrett,basic gesture; dance; spatiotemporal reference; samba; Charleston
No Sustained Sound Illusion in Rhythmic Sequences,2010,Music Perception,"Repp, Bruno H.",US,US,NA,NA,9,NA,NA,6,3,,Students,NA,NA,NA,artificial,NA,experimenter-creater,,Logan Barrett,time perception; filed duration illusion; interval subdivision; tempo perception; sound offset perception
No Sustained Sound Illusion in Rhythmic Sequences,2010,Music Perception,"Repp, Bruno H.",US,US,NA,NA,8,NA,NA,NA,NA,,Students,NA,NA,NA,artificial,NA,experimenter-creater,,Logan Barrett,time perception; filed duration illusion; interval subdivision; tempo perception; sound offset perception
Exploring Perceptual and Acoustical Correlates of Polyphonic TImbre,2010,Music Perception,"Alluri, Vinoo",Finland,Finland,NA,NA,71,24.8,6.8,39,32,,Students,NA,NA,NA,Pop,India,precomposed,,Logan Barrett,polyphonic timbre; bipolar scales; computational analysis; acoustic features; modeling
Exploring Perceptual and Acoustical Correlates of Polyphonic TImbre,2010,Music Perception,"Alluri, Vinoo",Finland,Finland,NA,NA,35,25.3,4.1,15,20,,NA,NA,NA,NA,Pop,India,precomposed,,Logan Barrett,polyphonic timbre; bipolar scales; computational analysis; acoustic features; modeling
"Agressiveness of the Growl-like Timbre: Acoustic Characteristics, Musical Implications. and Biomechanical Mechanisms",2010,Music Perception,"Tsai, Chen-Gia",Taiwan,Taiwan,NA,NA,8,22.3,1.4,0,8,,Students,non-Musicians,paid,NA,NA,NA,NA,,Logan Barrett,growl; agressiveness; Beijing opera; heavy metal; spine stability
"Agressiveness of the Growl-like Timbre: Acoustic Characteristics, Musical Implications. and Biomechanical Mechanisms",2010,Music Perception,"Tsai, Chen-Gia",Taiwan,Taiwan,NA,NA,28,20.1,1.7,NA,NA,,Students,NA,NA,NA,NA,NA,semi-precomposed,,Logan Barrett,growl; agressiveness; Beijing opera; heavy metal; spine stability
"Nonperformance, as well as Performance, based Music Engagement Predicts Verbal Recall",2010,Music Perception,"Chin, Tanchyuan",Australia,Australia,NA,NA,98,24.87,6.86,66,32,,NA,NA,Volunteer ,NA,NA,NA,NA,,Logan Barrett,music training; cognitive functioning; nonmusician; affective engagement; music listening
Embodied Meter: Hierarchical Eigenmodes in Music-Induced Movement,2010,Music Perception,"Toiviainen, Petri",Finland,Finland,NA,NA,18,24.2,3.9,12,6,,Students,NA,paid,NA,artificial,Blues,experimenter-creater,,Logan Barrett,music; movement; synchronization; meter; embodiment
Perception of Expression in Conductors' Gestures: A Continuous Response Study,2010,Music Perception,"Luck, Geoff",Finland,Finland,NA,NA,24,24.6,2.7,16,8,,Students,NA,paid,NA,Classical,Western,precomposed,,Logan Barrett,expressiveness; movement kinematics; regression; continuous response; point-light display
"Individual Differences, Auditory Imagery, and The Coordination of Body Movements and Sounds in Musical Ensembles",2010,Music Perception,"Keller, Peter E.",Germany,Germany,NA,NA,14,26,NA,4,10,,NA,NA,paid,NA,Classical,Western,precomposed,,Logan Barrett,ensemble coordination; music performance; auditory imagery; movement kinematics; individual differences
Intensity of Emotions Conveyed and Elicited by Familiar and Unfamiliar Music,2010,Music Perception,"Ali, S. Omar",US,US,NA,NA,64,NA,NA,NA,NA,,Students,NA,course credit,NA,Classical; Jazz; Soundtracks,Western,precomposed,,Logan Barrett,music; emotion; familiarity; preference; repetition
Intensity of Emotions Conveyed and Elicited by Familiar and Unfamiliar Music,2010,Music Perception,"Ali, S. Omar",US,US,NA,NA,44,NA,NA,NA,NA,,Students,NA,course credit,NA,Classical; Jazz; Soundtracks,Western,precomposed,,Logan Barrett,music; emotion; familiarity; preference; repetition
Intensity of Emotions Conveyed and Elicited by Familiar and Unfamiliar Music,2010,Music Perception,"Ali, S. Omar",US,US,NA,NA,64,NA,NA,NA,NA,,Students,NA,course credit,NA,Classical; Jazz; Soundtracks,Western,precomposed,,Logan Barrett,music; emotion; familiarity; preference; repetition
Melodic Contour Similarity Using Folk Melodies,2010,Music Perception,"Schmuckler, Mark A.",Canada,Canada,NA,NA,16,19.6,1.5,NA,NA,,Students,Musicians,course credit,NA,Folk,Western,precomposed,,Logan Barrett,melodic contour; melodic perception; melodic similarity; Fourier analysis; time series analysis
Melodic Contour Similarity Using Folk Melodies,2010,Music Perception,"Schmuckler, Mark A.",Canada,Canada,NA,NA,18,19.8,1.6,NA,NA,,Students,Musicians,course credit,NA,Folk,Western,precomposed,,Logan Barrett,melodic contour; melodic perception; melodic similarity; Fourier analysis; time series analysis
Melodic Contour Similarity Using Folk Melodies,2010,Music Perception,"Schmuckler, Mark A.",Canada,Canada,NA,NA,25,20.8,2,NA,NA,,Students,Musicians,course credit,NA,Folk,Western,precomposed,,Logan Barrett,melodic contour; melodic perception; melodic similarity; Fourier analysis; time series analysis
Musical Enculturation in Preschool Children: Acquisition of Key and Harmonic Knowledge,2010,Music Perception,"Corrigall, Kathleen A.",Canada,Canada,Canada,NA,52,4.5,0.3,37,15,,Children,non-Musicians,Other,NA,Lullaby,Western,semi-precomposed,,Logan Barrett,key membership; harmony; tonality; musical enculturation; pitch
Participatory Discrepancies and the Perception of Beats in Jazz,2010,Music Perception,"Butterfield, Matthew",US,US,NA,NA,63,NA,NA,NA,NA,,Students,NA,NA,NA,Jazz,Western,experimenter-creater,,Logan Barrett,jazz rhythm; swing; participatory discrepancies; microtiming; metric entrainment
Participatory Discrepancies and the Perception of Beats in Jazz,2010,Music Perception,"Butterfield, Matthew",US,US,NA,NA,22,NA,NA,NA,NA,,Students,NA,NA,NA,Jazz,Western,precomposed,,Logan Barrett,jazz rhythm; swing; participatory discrepancies; microtiming; metric entrainment
Musical identities in transition: Solo-piano students' accounts of entering the academy,2010,Psychology of Music,"Juuti, Sini",Finland,Finland,Finland,NA,10,NA,NA,7,3,,Students,NA,Volunteer ,NA,NA,NA,NA,,Logan Barrett,identity work; novices; postgraduate-level music students; research interviews; transition
Effects of Structure and serial postion on memory errors in musical performance,2010,Psychology of Music,"Mishra, Jennifer",US,US,NA,Na,20,NA,NA,12,8,,Students,Musicians,NA,NA,Classical,Western,precomposed,,Logan Barrett,memorisation; memory errors; musical structure; primacy; recency; serial order
Effects of Structure and serial postion on memory errors in musical performance,2010,Psychology of Music,"Mishra, Jennifer",US,US,NA,NA,23,NA,NA,11,12,,Students,Musicians,NA,NA,Classical,Western,precomposed,,Logan Barrett,memorisation; memory errors; musical structure; primacy; recency; serial order
Non-musicians' and musicians' perception of bitonality,2010,Psychology of Music,"Hamamoto, Mayumi",US,US,NA,NA,42,NA,NA,NA,NA,,Students,non-Musicians; Musicians,NA,NA,Classical; Pop,Western,precomposed; semi-precomposed,,Logan Barrett,bitonality; musicians; non-musicians; perception; tonality
Interpersonal interaction within the violin studio: The influence of inerpersonal dynamics on outcomes for teachers,2010,Psychology of Music,"Creech, Andrea",UK,UK,NA,NA,263,NA,NA,220,39,,teachers,Musicians,Volunteer ,NA,NA,NA,NA,,Logan Barrett,efficacy; instrumental teachers; interpersonal interaction; involvement; professional satisfaction
Perceptual organization can affect peformance on rhyhmic tasks,2010,Psychology of Music,"Mclaughlin, Pat",US,US,NA,NA,27,20.85,NA,3,24,,Students,Musicians,Volunteer ,NA,artificial,NA,experimenter-creater,,Logan Barrett,perception; percussion; performance; rhythm
Short- and long-term musical preferences: what makes a favourite piece of music?,2010,Psychology of Music,"Lamont, Alexandra",UK,UK,NA,NA,9,21.58,NA,6,3,,Students,non-musicians,Volunteer ,NA,NA,NA,precomposed,,Logan Barrett,everyday life; favourites; lifespan; listening; musical preference
"Music lessons, pitch processing, and g",2010,Psychology of Music,"Schellenberg, E. Glenn",Canada,Canada,NA,NA,40,19.9,1.6,30,10,,Students,Musicians; non-musicians,course credit; paid,NA,artificial,NA,experimenter-creater,,Logan Barrett,executive function; intelligence; music lessons; pitch perception; relative pitch
One-to-one tuition in a conservatiore: the perception of instrumental and vocal students,2010,Psychology of Music,"Gaun, Helena",UK,UK,NA,NA,20,NA,NA,8,12,,Students,Musicians,Volunteer ,NA,NA,NA,NA,,Logan Barrett,autonomy in learning; instrumental teaching; one-to-one relationship; power relationships
Posh music should equal posh dress': an investigation into the concert dress and physical appearance of female soloists,2010,Psychology of Music,"Griffiths, Noola K.",UK,UK,NA,NA,30,22.43,3.256,15,15,,Students,Musicians,NA,NA,Classical; Jazz; Folk,Western,semi-precomposed,,Logan Barrett,appropriate dress; body movement style; performance ratings
A limiting feature of the Mozart effect: listening enhances mental rotation abilities in non-musicians but not musicians,2010,Psychology of Music,"Aheadi, Afshid",UK,UK,NA,NA,100,NA,NA,NA,NA,,Students,non-Musicians; Musicians,Volunteer ,NA,Classical,Western,precomposed,,Logan Barrett,cognition; enhancement; Mozart; musical experience; spatial abilities
Music performance teachers' conceptions about learning and instruction: a descriptive study of Spanish piano teachers,2010,Psychology of Music,"Bautista, Alfredo",Spain,Spain,Spain,NA,45,36.71,11.1,21,24,,teachers,Musicians,Volunteer ,NA,NA,NA,NA,,Logan Barrett,conceptions about learning and instruction; conceptual change; piano teachers; teaching experience
From Death meal to R&B? Consistency of musical preferences among Dutch adolescents and young adults,2010,Psychology of Music,"Mulder, Juul",Netherlands,Netherlands,Netherlands,NA,236,19.65,3.49,118,118,,NA,NA,paid,NA,Pop,Western,precomposed,,Logan Barrett,music taste; popular music; q-correlation; stability; youth
Perception and predictions of expertise in advanced musical learners,2010,Psychology of Music,"Papageorgi, Ioulia",UK,UK,NA,NA,244,NA,NA,134,110,,NA,Musicians,Volunteer ,NA,Classical,Western,NA,,Logan Barrett,expertise development; gender; musical genre; musical performance; skill acquisition
Using graphical notations to assess children’s experiencing of simple and complex musical fragments,2010,Psychology of Music,"Verschaffel, Lieven",Belgium,Belgium,NA,NA,116,NA,NA,NA,NA,,NA,NA,NA,NA,artificial,NA,experimenter-creater,,Logan Barrett,graphical notations; music education; representation
When program notes don't help: Music descriptions and enjoyment,2010,Psychology of Music,"Margulis, Elizabeth Hellmuth",US,US,NA,NA,16,NA,NA,NA,NA,,Students,non-musicians,Volunteer ,NA,Classical,Western,precomposed,,Logan Barrett,musical description; conceptualization; musical enjoymen; program notes; verbal overshadowing
Love is in the air': Effects of songs with romantic lyrics on compliance with a courtship request,2010,Psychology of Music,"Gueguen, Nicolas",France,France,NA,NA,183,18.7,0.6,183,NA,,Students,NA,Volunteer ,NA,Pop,Wesern,precomposed,,Logan Barrett,courtship behaviour; lyrics; music
The effect of musical fit on consumers' memory,2010,Psychology of Music,"Yeoh, Joanne P.S.",Malaysia,Malaysia,China; Malaysia; India,Asian,40; 40; 40,24.3,6.55,20; 20; 20,20; 20; 20,,Students,NA,Volunteer ,NA,Rock; Classical,Western,precomposed,,Logan Barrett,consumers; memory; music
"Body, time, space and relationship in th emusic listening experiences of women with chronic illness",2010,Psychology of Music,"Nicol, Jennifer J.",Canada,Canada,NA,NA,6,58,NA,6,0,,NA,NA,Volunteer ,NA,NA,NA,NA,,Logan Barrett,chronic illness; music listening; hermeneutic-phenomenology; women
Musicians' memory for verbal and tonal materials under conditions of irrelevant sound,2010,Psychology of Music,"Williamon, Victoria J.",UK,UK,NA,NA,32,26,11.8,23,9,,NA,Musicians,paid,NA,artificial,NA,experimenter-creater,,Logan Barrett,language; muic; musicians; short-term memory; working memory model
21st century conceptions of musical ability,2010,Psychology of Music,"Hallam, Susan",UK,UK,NA,NA,660,NA,NA,212,447,,NA,NA,NA,NA,NA,NA,NA,,Logan Barrett,children; musical ability; musicians; perceptions
Musical Tension and the Interaction of Dynamic Auditory Parameters,2011,Music Perception,"Granot, Roni Y.",Israel,Israel,Israel,NA,132,NA,NA,71,61,,University Students,musicians; non-musicians,paid,NA,artificial,NA,experimenter-created,,Thomas Anthony Graves,"musical tension, loudness, pitch register, pitch direction, ecological model"
Music is in the Muscle: How Embodied Cognition May Influence Music Preferences,2011,Music Perception,"Sedlmeier, Peter",Germany,Germany,NA,NA,90,NA,NA,77,NA,,University Students,NA,course credit,NA,"western classical, latin","western, Bolivia",precomposed,,Thomas Anthony Graves,"music preference, embodiment, body movement, conditioning, dance"
Experiential and Cognitive Changes Following Seven Minutes Exposure to Music and Speech,2011,Music Perception,"Ilie, Gabriel",Canada,Canada,NA,NA,64,NA,NA,36,28,,University Students,musicians,course credit,NA,western classical,western,precomposed,,Thomas Anthony Graves,"music psychology, music and emotion, creativity, speed of processing, mood induction"
"Analysis-By-Synthesis of Timbre, Timing, and Dynamics in Expressive Clarinet Performance",2011,Music Perception,"Barthet, Mathieu",France,France,NA,NA,20,NA,NA,6,14,,University Students,musicians,NA,NA,western classical,western,semi-precomposed,,Thomas Anthony Graves,"timbre, timing, dynamics, expressive clarinet performance, preference"
Individual Differences in the Enjoyment of Negative Emotion in Music: A Literature Review and Experiment,2011,Music Perception,"Garrido, Sandra",Australia,Australia,NA,NA,59,22.27,NA,26,33,,University Students,musicians,course credit,NA,NA,NA,NA,,Thomas Anthony Graves,"sad music, individual differences, dissociation, absorption, music empathy"
A Comparison of Rhythm in English Dialects and Music,2011,Music Perception,"McGowan, Rebecca W.",US,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,"folk (fiddle, anglophone)",western,precomposed,"comparison of recordings of English dialects (US, Scottish, English) of musicians with their fiddle playing.",Thomas Anthony Graves,"speech rhythm, musical rhythm, dialects, nPVI, English"
"Music Notation, But Not Action on a Keyboard, Influences Pianists’ Judgments of Ambiguous Melodies",2011,Music Perception,"Repp, Bruno H.",US,US,NA,NA,12,NA,NA,NA,NA,,University Students,musicians,paid,NA,artificial,NA,experimenter-created,,Thomas Anthony Graves,"tritone, tritone paradox, action, perception, ambiguous melodies"
Illusory Tempo Changes Due to Musical Characteristics,2011,Music Perception,"Boltz, Marilyn G.",US,US,NA,NA,36,NA,NA,NA,NA,,University Students,musicians; non-musicians,course credit,NA,artificial,NA,experimenter-created,Artificial patterns of tones were created based on previous research on patterning in western classical music,Thomas Anthony Graves,"tempo, illusory perception, interactive perceptual dimensions, event rate, structural correlations"
Illusory Tempo Changes Due to Musical Characteristics,2011,Music Perception,"Boltz, Marilyn G.",US,US,NA,NA,36,NA,NA,NA,NA,,University Students,musicians; non-musicians,course credit,NA,artificial,NA,experimenter-created,Artificial patterns of tones were created based on previous research on patterning in western classical music,Thomas Anthony Graves,"tempo, illusory perception, interactive perceptual dimensions, event rate, structural correlations"
Modeling Pattern Importance in Chopin’s Mazurkas,2011,Music Perception,"Collins, Tom",UK,UK,NA,NA,12,20.83,0.95,5,7,,University Students,musicians,paid,NA,western classical,western,precomposed,,Thomas Anthony Graves,"pattern discovery, rating, music analysis, linear regression model, translation"
The Persistence of Musical Memories: A Descriptive Study of Earworms,2011,Music Perception,"Halpern, Andrea R.",US,US,NA,NA,21,NA,NA,NA,NA,,University Students,musicians; non-musicians,NA,NA,NA,NA,NA,Survey and diary study of earworms - most were popular music,Thomas Anthony Graves,"earworms, music memory, auditory imagery, persistence, memory diary"
The Persistence of Musical Memories: A Descriptive Study of Earworms,2011,Music Perception,"Halpern, Andrea R.",US,US,NA,NA,41,NA,NA,NA,8,,University Students,NA,NA,NA,NA,NA,NA,Earworm diary study,Thomas Anthony Graves,"earworms, music memory, auditory imagery, persistence, memory diary"
"The Ambiguous Tactus: Tempo, Subdivision Benefit, and Three Listener Strategies",2011,Music Perception,"Martens, Peter A.",US,US,NA,NA,29,NA,NA,16,13,,University Students & wider community members,musicians; non-musicians,NA,NA,"western classical, eastern european folk, free jazz, sounds of nature, infant vocalizing and striking toy percussion","western, eastern european",precomposed,"24 participants were UG or PG students, 5 were ""members of the community at large""",Thomas Anthony Graves,"beat induction, meter, synchronization, tactus, beat-finding"
"The Performance of Notes Inégales: The Influence of Tempo, Musical Structure, and Individual Performance Style on Expressive Timing",2011,Music Perception,"Moelants, Dirk",Belgium,Belgium,NA,NA,,36.4,NA,8,8,,NA,musicians,NA,NA,western classical,western,precomposed,,Thomas Anthony Graves,"rhythm, tempo, performance, baroque music, swing"
Probing the Minor Tonal Hierarchy,2011,Music Perception,"Vuvan, Dominique T.",Canada,Canada,NA,NA,16,18.9,1.4,NA,NA,,University Students,musicians,NA,NA,artificial,NA,experimenter-created,Stimuli created based on tonal structures of western classical music using grand piano MIDI sound.,Thomas Anthony Graves,"tonality, music perception, minor key, pitch, probe tone"
Absolute Tempo in Multiple Performances of Aboriginal Songs: Analyzing Recordings of Djanba 12 and Djanba 14,2011,Music Perception,"Bailes, Freya",Australia,Australia,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,djanba (Australian aboriginal - ceremonial music of Murriny Patha people),Australia,precomposed,,Thomas Anthony Graves,"absolute tempo, Aboriginal dance-song, tempo stability, memory, performance"
Synchronization Error of Drum Kit Playing with a Metronome at Different Tempi by Professional Drummers,2011,Music Perception,"Fujii, Shinya",Japan,Japan,NA,NA,15,40.33,NA,2,13,,NA,musicians,NA,NA,NA,NA,precomposed,"Drummers (on a modern drum kit) performed during the experiment - they were asked to play ""a simple beat"". Genre is not mentioned, although the drumers were all professionals and had toured with bands, so it is possible that it was popular music.",Thomas Anthony Graves,"sensorimotor synchronization, synchronization error, asynchrony, drum kit playing, drummers"
"Musician Advantages in Music Perception: An Issue of Motivation, Not Just Ability",2011,Music Perception,"McAuley, J. Devin",US,US,NA,NA,52,25.3,8.8,30,NA,,University Students,musicians; non-musicians,course credit or paid,NA,artificial,NA,experimenter-created,"Stimuli were from a previously existing set of exercises created by another group of researchers in the Montreal Battery of Evaluation of Amusia (MBEA), composed in the style of western classical music.",Thomas Anthony Graves,"music training, regulatory focus, regulatory fit, MBEA, motivation"
